BIOS reset vector jumps to F000:E05B
BIOS loaded from ami_8088_bios_31jan89.bin (8192 bytes)
Reset vector bytes: EA 5B E0 00 F0
IF=0 Shadow=0
index: 232 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.829 ms]
index: 233 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.843 ms]
index: 234 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.853 ms]
index: 235 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.862 ms]
index: 236 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.872 ms]
index: 237 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.881 ms]
index: 238 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.891 ms]
index: 239 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.900 ms]
index: 240 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.909 ms]
index: 241 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.919 ms]
index: 242 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.929 ms]
index: 243 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.938 ms]
index: 244 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.948 ms]
index: 245 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.957 ms]
index: 246 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.966 ms]
index: 247 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.976 ms]
index: 248 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     3.985 ms]
index: 249 OUT port 0x0043, size 1, value 0x40  # forced_out [     3.994 ms]
index: 250 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.004 ms]
index: 251 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.050 ms]
index: 252 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.061 ms]
index: 253 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.070 ms]
index: 254 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.080 ms]
index: 255 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.089 ms]
index: 256 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.098 ms]
index: 257 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.109 ms]
index: 258 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.119 ms]
index: 259 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.128 ms]
index: 260 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.145 ms]
index: 261 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.158 ms]
index: 262 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.171 ms]
index: 263 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.184 ms]
index: 264 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.199 ms]
index: 265 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.214 ms]
index: 266 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.228 ms]
index: 267 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.245 ms]
index: 268 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.257 ms]
index: 269 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.271 ms]
index: 270 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.284 ms]
index: 271 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.302 ms]
index: 272 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.322 ms]
index: 273 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.342 ms]
index: 274 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.355 ms]
index: 275 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.368 ms]
index: 276 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.380 ms]
index: 277 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.392 ms]
index: 278 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.405 ms]
index: 279 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.418 ms]
index: 280 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.432 ms]
index: 281 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.449 ms]
index: 282 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.466 ms]
index: 283 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.481 ms]
index: 284 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.498 ms]
index: 285 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.515 ms]
index: 286 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.528 ms]
index: 287 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.537 ms]
index: 288 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.550 ms]
index: 289 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.561 ms]
index: 290 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.571 ms]
index: 291 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.582 ms]
index: 292 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.592 ms]
index: 293 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.601 ms]
index: 294 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.611 ms]
index: 295 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.620 ms]
index: 296 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.630 ms]
index: 297 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.639 ms]
index: 298 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.649 ms]
index: 299 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.658 ms]
index: 300 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.701 ms]
index: 301 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.711 ms]
index: 302 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.720 ms]
index: 303 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.729 ms]
index: 304 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.739 ms]
index: 305 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.749 ms]
index: 306 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.759 ms]
index: 307 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.768 ms]
index: 308 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.778 ms]
index: 309 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.795 ms]
index: 310 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.810 ms]
index: 311 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.826 ms]
index: 312 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.838 ms]
index: 313 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.851 ms]
index: 314 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.863 ms]
index: 315 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.875 ms]
index: 316 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.887 ms]
index: 317 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.905 ms]
index: 318 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.918 ms]
index: 319 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.931 ms]
index: 320 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.941 ms]
index: 321 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.951 ms]
index: 322 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.960 ms]
index: 323 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     4.970 ms]
index: 324 OUT port 0x0043, size 1, value 0x40  # forced_out [     4.986 ms]
index: 325 IN  port 0x0041, size 1, value 0x00  # forced_in(default) [     5.001 ms]
